Feature	Gain	Cover	Frequency
chomebanking_transacciones_lag1	0.00493352124526203	0.00399033357473128	0.00932040752970395
mpasivos_margen_delta2	0.00487874065845887	0.00366361920933612	0.00889001778003556
mprestamos_personales_delta1	0.00449142302238186	0.0148016789324952	0.00433211977535066
ctarjeta_visa_transacciones_delta2	0.00446312515209898	0.0109587581581324	0.00534812180735473
ccomisiones_mantenimiento_delta1	0.00434546830130181	0.00498852259278611	0.00167922558067338
mrentabilidad_lag2	0.0043241505275723	0.00505260454214102	0.00915107385770327
cdescubierto_preacordado_delta1	0.0043203725588593	0.00887504035923691	0.00111478000733779
Visa_status_delta1	0.00420500538949057	0.000681301233494315	0.000515056585668727
Visa_mpagominimo_delta1	0.0041484478068529	0.00598965290867601	0.0073236813140293
ccomisiones_mantenimiento	0.00405492193842868	0.00681732995435993	0.00282928343634465
ctarjeta_visa_transacciones_lag1	0.00402402763524693	0.00398140249107175	0.0038593966076821
Master_status	0.00383968028523945	0.0114740739063447	0.00241300482600965
mcaja_ahorro_delta2	0.00383506762066312	0.00573180423609512	0.00831146106736658
mprestamos_personales_lag2	0.00369969946662339	0.00415866928071153	0.00284339457567804
mtarjeta_master_consumo_delta2	0.0035715948527939	0.00267002221749317	0.00195439279767448
ctarjeta_visa_transacciones_delta1	0.00351643744697054	0.00569722775488117	0.00408517483701634
cdescubierto_preacordado_delta2	0.00346472033114478	0.0027684007286304	0.000599723421669066
mtarjeta_visa_consumo_lag1	0.00343176212421705	0.00463008667937343	0.00369006293568143
Master_mpagominimo	0.00327464794915778	0.00602568962604964	0.00422628623035024
mprestamos_personales_lag1	0.00320031190024585	0.00611879254404789	0.00301272824767872
internet	0.00319982875844956	0.00331076147155524	0.00292100584201168
mtarjeta_visa_consumo_lag2	0.00317462079318636	0.00249480490360435	0.00352072926368075
mtarjeta_visa_consumo_delta1	0.00312446255321344	0.00617713828885773	0.00493889876668642
cproductos_delta1	0.00308606206556861	0.0136346917595086	0.00222250444500889
cproductos_lag1	0.0029841656743153	0.00650234954203148	0.00576440041768972
ccomisiones_mantenimiento_delta2	0.00288792851538596	0.00984260668148499	0.00239183811700957
ccallcenter_transacciones_delta2	0.00285735805385912	0.00260041660635638	0.00255411621934355
ccallcenter_transacciones_lag2	0.00280288453311413	0.00124382291316242	0.00140405836367228
ccallcenter_transacciones	0.00275263130165221	0.011949661308268	0.00321028419834617
cproductos_lag2	0.00267995219438191	0.00404682768618931	0.00491773205768634
ctarjeta_visa_transacciones_lag2	0.00267477522202068	0.00264443133378868	0.004000508001016
cdescubierto_preacordado	0.00264008013515807	0.0186456667082801	0.00301272824767872
mtarjeta_master_consumo	0.00261953309028066	0.00266311120885655	0.00205317077300821
Master_mpagominimo_delta2	0.00253484759226638	0.00187488626512109	0.00224367115400898
ccallcenter_transacciones_lag1	0.00237571792190819	0.0048537220922348	0.00184150368300737
Visa_status	0.00233411202925541	0.017771636964769	0.00261056077667711
Master_mpagominimo_lag2	0.00231836058922914	0.00163862201453308	0.00270933875201084
ccallcenter_transacciones_delta1	0.00227556994834682	0.00369637713301731	0.00258939406767702
mtarjeta_master_consumo_lag2	0.00222410321627516	0.00121936702006358	0.0013758360850055
Master_mpagominimo_lag1	0.00208629002161054	0.00486509956147393	0.00277989444867779
cpayroll_trx_lag1	0.0020602037959973	0.000785371235569369	0.000691445827336099
mpayroll_delta2	0.00186805412974894	0.00739981901597831	0.00147461406033923
Master_fechaalta_delta2	0.00186748385417053	0.000685242768598155	0.00200378178534135
ccomisiones_mantenimiento_lag2	0.00181298481272611	0.00215898121263587	0.00146050292100584
mtarjeta_master_consumo_delta1	0.00179989773048993	0.00176125551379416	0.00167217001100669
Master_mpagominimo_delta1	0.00177251636037277	0.00261693797797345	0.00237067140800948
internet_lag1	0.0017572274528216	0.00457316503232838	0.00249767166200999
mtarjeta_master_consumo_lag1	0.00164941623101464	0.00267926139628203	0.0016510033020066
mpayroll_sobre_edad_lag1	0.00148630914712854	0.00235519309641113	0.00111478000733779
mpayroll_lag1	0.00145181867710119	0.00277125259925099	0.00154516975700618
Visa_fechaalta_delta2	0.00144873385210898	0.00100463206510336	0.00213783760900855
mpayroll_sobre_edad_lag2	0.00144646612911289	0.00199513891792551	0.00117828013433805
cpayroll_trx_lag2	0.00136394071635633	0.00274840517098241	0.00066322354866932
Master_fechaalta_delta1	0.0012730714520387	0.000342053582738664	0.00182739254367398
Visa_status_lag1	0.00125071092501628	0.00781442624535567	0.000874890638670166
internet_lag2	0.00123097306106539	0.0011845602331466	0.00190500381000762
mpayroll_sobre_edad_delta2	0.00120717124276645	0.00496290782099008	0.00141816950300567
internet_delta2	0.00117998779347949	0.00140512143238152	0.00268817204301075
ccomisiones_mantenimiento_lag1	0.0011574713756185	0.00378367769483239	0.00158044760533966
mpayroll_lag2	0.00113655025880134	0.00135087157649776	0.00120650241300483
